links,terms,snippets,question 1,response 1,response confidence 1,question 2,response 2,response confidence 2,res
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2VuZXMta2FudGVyLWZyZWVkb20tdHJ1ZGVhdS1zbnViYmVkLTEuNjUwNzQyONIBAA?oc=5,Justin Trudeau,"NBA star and human rights campaigner Enes Kanter Freedom says he is frustrated with what he calls a lacklustre response from Prime Minister Justin Trudeau to his calls for more action to help Uyghur Muslims in China. The basketball player, who is currently a free agent after being cut by the Houston Rockets earlier this year, said he wrote to Trudeau last month to encourage the Liberal government to take a harder line on China at a time when the country is allegedly committing a genocide against a Turkic minority in the country's Xinjiang province. He said all he got","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,78.4% 21.6% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,92.3% 7.7% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2VuZXMta2FudGVyLWZyZWVkb20tdHJ1ZGVhdS1zbnViYmVkLTEuNjUwNzQyONIBAA?oc=5,Justin Trudeau,"motion last year officially declaring the horrors in China a genocide was another disappointment. ""Canada represents freedom, democracy and human rights and yet it's not taking any real action on China. There's a genocide and the whole world knows it, simply condemning it is not enough,"" Kanter Freedom said. ""Justin Trudeau, put yourselves in the shoes of these people. If your wife was in a concentration camp would you really think the status quo is enough? It's really unacceptable,"" he said. Diplomatic boycott won't save lives: Enes Kanter Kanter Freedom was feted by Republican leaders in Washington, D.C. last month,","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,80.3% 19.7% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,92.4% 7.6% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiX2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tYW5pdG9iYS9ib3JkZXItY3Jvc3NpbmctZGVhdGhzLW1hbml0b2JhLXUtcy1zbXVnZ2xpbmctMS42MzIyOTc30gEA?oc=5,Justin Trudeau,"""were maxed to the limit."" But the wave has since subsided, Carlson said, adding that's why Wednesday's incident was such a shock. ""It's just so tragic. It's such a sad story,"" he said, ""Definitely not welcome news at any time."" 'Mind blowing': Trudeau On the national stage, Prime Minister Justin Trudeau offered both sympathy and anger on Friday in Ottawa. ""This is absolutely a mind-blowing incident. It is absolutely tragic to see a family die in this fashion,"" he said. ""They're victims of human traffickers, of misinformation, and of people who took advantage of their desire to build a better","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiWmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS90b3JvbnRvL2VpZC1hbC1hZGhhLXByYXllci1uYXRoYW4tcGhpbGxpcHMtc3F1YXJlLTEuNjUxNjAxN9IBAA?oc=5,Justin Trudeau,"said he is grateful for their efforts. ""As for Torontonians at large, Eid represents an opportunity to recognize the contributions of Muslim-Canadians to our city and to take the time to learn more about your Muslim neighbours and friends or colleagues and their faith."" For his part, Prime Minister Justin Trudeau said in a statement that Eid-al-Adha is a time for prayer, sharing, sacrifice and compassion for Muslims in Canada. ""As one of the most important holidays in Islam, every year, Muslims celebrate by gathering with family and loved ones to pray, showing gratitude for life's blessings, sharing festive meals,","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,66.0% 34.0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL2t5aXYtbWlzc2lsZS1zdHJpa2UtcnVzc2lhLWNpdGllcy0xLjY2MTE5MTDSAQA?oc=5,Justin Trudeau,"Biden told Zelenskyy that the United States agreed to his request to provide advanced air defence systems. German Chancellor Olaf Scholz's spokesperson, Steffen Hebestreit, said the Group of Seven industrial powers will hold a video conference on Tuesday that Zelenskyy will address. Germany currently chairs the G-7. Prime Minister Justin Trudeau expressed condolences to Zelenskyy on behalf of Canadians in a phone call on Monday, and he reiterated Canada's commitment to the continued provision of military, economic, and humanitarian aid. His office said Trudeau told Zelenskyy that ""such egregious Russian attacks only strengthen Canada's resolve to support Ukraine for as","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,84.2% 15.8% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2NvbnNlcnZhdGl2ZS1sZWFkZXJzaGlwLW1lbWJlcnNoaXBzLTEuNjQ3NTM0NtIBAA?oc=5,Pierre Poilievre,"will do everything it must to ensure that a new leader is announced on September 10. With the clock ticking down to the deadline, all six candidates have been scrambling to sign up supporters through social media and in person. Addressing a huge crowd in Saskatoon Tuesday night, candidate Pierre Poilievre encouraged his supporters to get their neighbours, friends and family members to sign up. Candidate Leslyn Lewis was in St John's on Wednesday night. She told CBC News she continues to see new faces in her travels across the country. ""Different issues are emerging where people are gravitating toward","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,99.8% 0.2% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiTmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2NvbnNlcnZhdGl2ZS1sZWFkZXJzaGlwLW1lbWJlcnNoaXBzLTEuNjQ3NTM0NtIBAA?oc=5,Justin Trudeau,"final tally to be confirmed until many days from now. ""There's a process to challenge names on the list,"" he said. ""So it's why we don't disclose numbers until well after the deadline, because we want to make sure we get accurate information out into the public domain."" When Justin Trudeau won the Liberal leadership in 2013, the party had 127,000 registered voters. 'There's quite a backlog' In 2020, the CPC set a record for new and existing memberships in a leadership race - 269,469 in total. Party insiders say this year's race is expected to significantly surpass that number.","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiTGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2FuZ3VzLXJlaWQtcGFuZGVtaWMtcG9sbC1wb2xpdGljcy0xLjYzODQ5MjfSAQA?oc=5,Justin Trudeau,"A new poll says public opinion on the political response to the COVID-19 pandemic in Canada is deeply divided, with those polled split evenly on the question of how Prime Minister Justin Trudeau has handled the emergency. The poll, conducted by the Angus Reid Institute in partnership with CBC, found that 48 per cent of Canadians say Trudeau has done a ""good"" or ""very good"" job during the pandemic so far. Another 48 per cent said Trudeau has done a ""bad"" or ""very bad"" job. Shachi Kurl, president of the Angus Reid Institute, said the findings appear to confirm what","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiXmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3N1cHBseS1tYW5hZ2VtZW50LWNvbnNlcnZhdGl2ZS1sZWFkZXJzaGlwLWFpdGNoaXNvbi0xLjY0MjUwMzjSAQA?oc=5,Pierre Poilievre,"by his campaign, the MP and former mayor of Huntsville, Ontario said he would wind down the system ""in his first term"" as prime minister. Aitchison said he would also compensate farmers who hold quota under the current system and offer them help in international markets. While presumed front-runner Pierre Poilievre has based his own campaign on promises to maximize Canadians' ""freedom"" and complaints about ""big, bossy governments,"" he also has said he would keep the current supply management system in place. ""The reason is that the farmers who own the quota have had to pay millions of dollars for","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,99.9% 0.1% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiVWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tb250cmVhbC9vdHRhd2EtaW50ZXJ2ZW5lLWNhcmlib3UtcHJvdGVjdGlvbi0xLjY0MTY4MzXSAQA?oc=5,Justin Trudeau,"in the province. Officials in Dufour's ministry declined to comment on Guilbeault's letter, only saying that the Quebec forests, wildlife and parks minister will respond to the federal environment minister directly in the next couple of days. But Premier François Legault called Guilbeault's ultimatum another example of Prime Minister Justin Trudeau's government meddling in areas of provincial jurisdiction. ""This is Quebec's jurisdiction, so we have an independent commission that is looking into this,'' Legault told reporters in Quebec City. ""We have to have a balance between saving the caribou but also protecting jobs that are important in certain regions of","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,78.8% 21.2% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,79.5% 20.5% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2lyYW4tcHJvdGVzdHMtY2FuYWRhLXNhdHVyZGF5LTEuNjYzNDI3NdIBAA?oc=5,Justin Trudeau,"been arrested in the protests that have swept over 125 Iranian cities, according to the group Human Rights Activists in Iran. The Iranian government has repeatedly alleged that foreign powers have orchestrated the protests, but have not provided evidence to support the claim. Trudeau at Ottawa protest Prime Minister Justin Trudeau spoke at the protest in Ottawa , where several hundred people gathered outside the National Gallery of Canada before moving to stretch along both sides of the Alexandra Bridge. ""Iranians made their choice, Canada be their voice,"" and ""Canada, U.S., take action, take action"" featured prominently in the chants","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,82.5% 17.5% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9ub3J0aC9pcWFsdWl0LWFzdHJvLXRoZWF0cmUtc2VkbmEtZW1wcmVzcy1vZi10aGUtc2VhLTEuNjY2NDgyONIBAA?oc=5,Justin Trudeau,"Thevenet's bio on the film's website says he was born in NunatuKavut and is of both European and Indigenous descent. Tension around the community's identity has surfaced in the news over the years. Last year, Inuit Tapiriit Kanatami, which represents Inuit in Canada, sent a letter to Prime Minister Justin Trudeau rejecting the NunatuKavut Community Council's (NCC) stance that it's a separate Inuit organization. In the letter, ITK called for the federal government to exclude the NCC from any federal Inuit programs, policies, and benefits. The NCC says it represents about 6,000 Inuit and people of Inuit descent in southern","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,99.3% 0.7% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiYWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9jYWxnYXJ5L2plYW4tY2hhcmVzdC1sZWFkZXJzaGlwLWNvbnNlcnZhdGl2ZS1jcGMtY2FsZ2FyeS0xLjYzODA5NjTSAQA?oc=5,Pierre Poilievre,"hosting a meet-and-greet in Calgary Friday morning as well. Former Conservative leader Erin O'Toole, who Charest is running to replace, also launched his leadership campaign in the city two years ago. Some in the party are questioning how a former Quebec premier will play in Western Canada. His opponent Pierre Poilievre, has been quick to accuse him of being too similar to the Liberals. Charest's supporters have argued the Quebec provincial Liberal party is a coalition and there was no direct equivalent of the federal Conservatives at the provincial level. Lori Williams, a political scientist at Mount Royal University, said","Does this news show Pierre Poilievre in a positive, negative or neutral way?",negative neutral positive,66.4% 33.6% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral negative positive,85.2% 14.8% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2luZGlnZW5vdXMtY29uc2VydmF0aW9uLXByb3RldGlvbi1jcmVlLWludWl0LWZpcnN0bmF0aW9ucy0xLjY2NzczNTDSAQA?oc=5,Justin Trudeau,"Prime Minister Justin Trudeau has announced $800 million in funding over seven years for large Indigenous-led conservation projects covering almost a million square kilometres of land. ""Communities have been clear - safeguarding lands and waters will help build a strong future for generations to come,"" Trudeau said Wednesday. ""As a government, our role is to listen and support that vision."" The prime minister made the announcement in Montréal, which is hosting the 15th Conference of the Parties to the Convention on Biological Diversity, also known as COP15. The four projects in Ontario, Nunavut, the Northwest Territories and British Columbia that","Does this news show Justin Trudeau in a positive, negative or neutral way?",positive neutral negative,97.2% 2.8% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,pos
https://news.google.com/__i/rss/rd/articles/CBMiP2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS90b3JvbnRvL21pZ3JhbnQtc3RhdHVzLTEuNjU4NzEwMdIBAA?oc=5,Justin Trudeau,"years,"" he said by phone before heading to a planned afternoon rally in Toronto. ""We want to make sure that parliament does not in any way delay."" Ottawa launched a regularization program during the COVID-19 pandemic for asylum seekers who worked in the health sector. Since then, Prime Minister Justin Trudeau has indicated interest in expanding the initiative. A mandate letter from December 2021 asked Trudeau's immigration and citizenship minister to ""build on existing pilot programs to further explore ways of regularizing status for undocumented workers who are contributing to Canadian communities."" Hussan said the program should include all undocumented","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,60.7% 39.3% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS90b3JvbnRvL3JvbWFuLWJhYmVyLWVudGVycy1jb25zZXJ2YXRpdmUtcGFydHktbGVhZGVyc2hpcC1yYWNlLTEuNjM3ODIzNNIBAA?oc=5,Pierre Poilievre,"An independent Ontario legislator, who rose to prominence for speaking out against COVID-19 lockdowns, says he will run for Conservative leadership. Roman Baber will launch his campaign Wednesday evening, and says he considers himself to be the underdog in the party's contest, competing against well-known federal Conservatives like Pierre Poilievre and Leslyn Lewis. Former Quebec premier Jean Charest is also planning to enter the race Thursday. Baber sits as an Independent MPP for the Toronto riding of York Centre after Ontario Premier Doug Ford booted him from his Progressive Conservative government in January 2021 over publicly calling for an end","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL21wcy1wcm9iZS1jaGluZXNlLWludGVyZmVyZW5jZS1lbGVjdGlvbnMtMS42NjUxMTIx0gEA?oc=5,Pierre Poilievre,"need to make sure that those who are tasked with keeping us safe every single day are able to do that, and that's why we'll continue to invest in some of the tools and resources necessary to do that,"" he said, pointing to investments in intelligence agencies. Conservative Leader Pierre Poilievre has blasted Trudeau over his handling of the alleged Chinese interference, saying the procedure and House affairs committee (PROC) needs to look at ""what the prime minister knew, what he is going to do about it and how we're going to protect our democracy from foreign interference."" But Akshay","Does this news show Pierre Poilievre in a positive, negative or neutral way?",neutral negative positive,99.9% 0.1% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL21wcy1wcm9iZS1jaGluZXNlLWludGVyZmVyZW5jZS1lbGVjdGlvbnMtMS42NjUxMTIx0gEA?oc=5,Justin Trudeau,"""agents into the offices of MPs in order to influence policy,"" an attempt to ""co-opt and corrupt former Canadian officials to gain leverage in Ottawa"" and a campaign to ""punish Canadian politicians whom the People's Republic of China views as threats to its interests."" Global reported that Prime Minister Justin Trudeau and some cabinet ministers were briefed by intelligence agencies on these foreign interference allegations in January. 'No one has been expelled ... no one has been charged' CSIS reportedly told Trudeau that China's consulate in Toronto floated cash to at least eleven federal election candidates ""and numerous Beijing operatives""","Does this news show Justin Trudeau in a positive, negative or neutral way?",negative neutral positive,85.8% 14.2% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral negative positive,57.7% 42.3% 0%,neg
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3dvcmxkL3VrcmFpbmUtcnVzc2lhLWNyaXNpcy1mZWIyMy0yMDIyLTEuNjM2MTA3NNIBAA?oc=5,Justin Trudeau,"those who could feel tempted to interfere with ongoing developments: Whoever tries to impede us, let alone create threats for our country and its people must know that the Russian response will be immediate and lead to the consequences you have never seen in history,"" he said. Prime Minister Justin Trudeau condemned the attack and warned the action would be met with ""severe consequences."" In a written statement, he said: ""Canada calls on Russia to immediately cease all hostile and provocative actions against Ukraine and withdraw all military and proxy forces from the country. Ukraine's sovereignty and territorial integrity must","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,87.8% 12.2% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL290b29sZS1jb252b3ktcHJvdGVzdC1tZWV0aW5nLTEuNjMzMDU3NdIBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS42MzMwNTc1?oc=5,Justin Trudeau,"plans to meet with protesting truckers But the Conservative Leader also voiced opposition to Liberal policy choices. He said the government's insistence on making vaccines mandatory is unjustly causing people to lose their jobs. In a tweet posted just minutes after his news conference ended, O'Toole said Prime Minister Justin Trudeau and the Liberals want to ""smear and demonize"" truckers. NDP Leader Jagmeet Singh has denounced the convoy and accused its organizers of voicing ""inflammatory, divisive and hateful comments."" Trudeau has called the protesters a ""fringe minority."" He is self-isolating until at least Tuesday after being exposed to COVID-19. Representatives","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,65.7% 34.3% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",negative neutral positive,86.7% 13.3% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiSGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL290b29sZS1jb252b3ktcHJvdGVzdC1tZWV0aW5nLTEuNjMzMDU3NdIBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS42MzMwNTc1?oc=5,Jagmeet Singh,"to Liberal policy choices. He said the government's insistence on making vaccines mandatory is unjustly causing people to lose their jobs. In a tweet posted just minutes after his news conference ended, O'Toole said Prime Minister Justin Trudeau and the Liberals want to ""smear and demonize"" truckers. NDP Leader Jagmeet Singh has denounced the convoy and accused its organizers of voicing ""inflammatory, divisive and hateful comments."" Trudeau has called the protesters a ""fringe minority."" He is self-isolating until at least Tuesday after being exposed to COVID-19. Representatives of the Canadian trucking industry have estimated that more than 20,000 truckers could","Does this news show Jagmeet Singh in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Jagmeet Singh?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiTWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2dlbnVpcy1kYWxlLXNtaXRoLWxhbWUtaG9yc2UtdHdlZXQtMS42NTkxNjY20gEA?oc=5,Justin Trudeau,"gallery after he tweeted a comment they say risked provoking violence against politicians. The issue spilled out of a moment during question period on Wednesday when Conservative MP Garnett Genuis quoted the band Queen while asking a question about inflation. The Queen reference was a dig at Prime Minister Justin Trudeau, who was spotted singing Bohemian Rhapsody with members of the Canadian delegation last weekend ahead of Queen Elizabeth's funeral. Dale Smith, a freelance member of the parliamentary press gallery, then tweeted that ""Genuis tries to includes lyrics from 'Bohemian Rhapsody' in his question, and I cannot adequately tell you","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,99.9% 0.1% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiU2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3BvaWxpZXZyZS1haXJwb3J0LWJpbGx5LWJpc2hvcC1leHBhbnNpb24tMS42NTI3OTc10gEA?oc=5,Pierre Poilievre,"Conservative leadership candidate Pierre Poilievre said Thursday a federal government led by him would approve a runway expansion at Toronto's Billy Bishop airport which would allow jets to fly in and out of the downtown. In a media statement, Poilievre said the move would increase competition in the aviation sector and provide passengers with an alternative to Toronto's Pearson International Airport. ""Travel at Pearson is a mess right now,"" he said. ""There could have been way more flights out of Billy Bishop airport in downtown Toronto, meaning more competition and more choice, but the dreadful gatekeepers wouldn't let it happen.","Does this news show Pierre Poilievre in a positive, negative or neutral way?",positive neutral negative,78.3% 21.7% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral positive negative,100.0% 0% 0%,pos
https://news.google.com/__i/rss/rd/articles/CBMiRWh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tb250cmVhbC9ndXktbGFmbGV1ci1mdW5lcmFsLTEuNjQzODIxM9IBAA?oc=5,Justin Trudeau,"a single time out of fear of disappointing them."" Carbonneau described him as a superstar who was also ""one of the boys."" The funeral followed two days of public visitation at the Bell Centre, where thousands lined up for hours for a chance to pay their respects. Prime Minister Justin Trudeau and Quebec Premier François Legault were among the dignitaries who attended. They both addressed reporters prior to the ceremony. ""His contributions to the world around him were legendary and an inspiration to us all,"" said Trudeau. Legault said Lafleur was an ""idol for the Quebec nation."" ""We were so","Does this news show Justin Trudeau in a positive, negative or neutral way?",positive neutral negative,91.6% 8.4% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,pos
https://news.google.com/__i/rss/rd/articles/CBMiZGh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL2NhbmFkYS11a3JhaW5lLWJyaXRhaW4tbmV0aGVybGFuZHMtaHVtYW5pdGFyaWFuLWNvYWxpdGlvbi0xLjYzNzUyMTbSAQA?oc=5,Justin Trudeau,"British Prime Minister Boris Johnson invoked the Battle of Britain as he opened a bilateral meeting Monday with Prime Minister Justin Trudeau as the two leaders met to discuss the rapidly evolving crisis in eastern Europe. The two met in the officer's mess under a portrait of the Queen at a Royal Air Force base in Northolt, west of London. It was one of the major bases in the defence of the United Kingdom during the Second World War, and they spoke about its history before turning to the brutal, modern war taking place in Ukraine. ""Canada and the U.K.","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,99.9% 0.1% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiY2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3B1YmxpYy1pbnF1aXJ5LWVtZXJnZW5jaWVzLWFjdC1jYWJpbmV0LWNvbmZpZGVuY2Utd2FpdmVkLTEuNjUwNDY0NtIBAA?oc=5,Justin Trudeau,"in inquiring into why the government declared a public order emergency,"" the commission co-counsels Shantona Chaudhury and Jeffrey Leon said in a statement. This is only the fourth time in Canada' history that a public inquiry will be given access to cabinet documents, according to the commission. Prime Minister Justin Trudeau invoked the act on Feb. 14 - for the first time in Canada's history - during the anti-COVID-19 mandate protests and subsequent occupation of Ottawa. The act gave the federal government temporary powers to deal with the blockades that gridlocked Ottawa for three weeks last winter as protesters blocked","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,100.0% 0% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiT2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL21lbmRpY2luby1jYW5hZGEtZGF5LWVtZXJnZW5jaWVzLWFjdC0xLjY1MDA0MTHSAQA?oc=5,Justin Trudeau,"his government was talking to law enforcement daily, sometimes hourly. ""We did what a responsible government would do, which is remain in contact with law enforcement for the purposes of making the decisions that were necessary to restore public safety,"" he said. At the time of invocation, Prime Minister Justin Trudeau argued its use was necessary to address ""serious challenges to law enforcement's ability to effectively enforce the law."" But that reasoning has been questioned by the opposition and other critics, who have asked whether other measures, including policing tactics, could have been used. Mendicino pointed to testimony from Lucki,","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral positive negative,99.6% 0.4% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiZmh0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL2NhbmFkYS9tYW5pdG9iYS9lbWVyc29uLWJvcmRlci1ibG9ja2FkZS1wcm90ZXN0LW1hbml0b2JhLXJjbXAtdXBkYXRlLTEuNjM1MzU2ONIBIGh0dHBzOi8vd3d3LmNiYy5jYS9hbXAvMS42MzUzNTY4?oc=5,Justin Trudeau,"Manitoba Legislative Building in downtown Winnipeg, has been going on for about two weeks and remains in place. Both are part of a number of demonstrations in cities and border crossings across Canada by people who oppose COVID-19 pandemic restrictions and a federal vaccine mandate for truckers. Prime Minister Justin Trudeau invoked the Emergencies Act Monday, for the first in time in Canada's history, to give the federal government extra powers to handle ongoing protests against pandemic restrictions. Emerson typically sees about 1,000 trucks cross the border each day, Carlson said. ""We have a great relationship with our friends and","Does this news show Justin Trudeau in a positive, negative or neutral way?",neutral negative positive,96.2% 3.8% 0%,"Is this news written with a positive, negative or neutral bias towards Justin Trudeau?",neutral positive negative,100.0% 0% 0%,neu
https://news.google.com/__i/rss/rd/articles/CBMiR2h0dHBzOi8vd3d3LmNiYy5jYS9uZXdzL3BvbGl0aWNzL3RydWRlYXUtZW1lcmdlbmNpZXMtYWN0LXZvdGUtMS42MzU5MjQz0gEA?oc=5,Pierre Poilievre,"Canadians and voted against this government overreach. The Emergencies Act was not necessary to clear the blockades, the government already had all the tools they need under current Canadian law,"" she said. ""We will continue to fight this power grab by the prime minister and his government."" Conservative MP Pierre Poilievre, who is seeking his party's leadership, accused Prime Minister Trudeau of engineering the crisis for political gain. ""They have attempted to amplify and take advantage of every pain, every fear, every tragedy that has struck throughout this pandemic in order to divide one person against another and replace the","Does this news show Pierre Poilievre in a positive, negative or neutral way?",negative neutral positive,92.8% 7.2% 0%,"Is this news written with a positive, negative or neutral bias towards Pierre Poilievre?",neutral negative positive,85.0% 15.0% 0%,neg
